disease,language,category,words,images,intrawikis,sections,total_edits,first_edit,last_edit,unique_editors
Parkinson,simple,Deep_brain_stimulation,1532,0,46,3,23,2013-04-02 23:44:01,2024-11-07 07:35:08,15
Parkinson,sr,Deep_brain_stimulation,3286,20,25,12,91,2021-07-13 16:50:41,2025-01-07 18:00:49,7
Parkinson,sv,Deep_brain_stimulation,629,0,10,4,21,2014-05-29 10:31:07,2024-01-30 11:51:04,11
Parkinson,te,Deep_brain_stimulation,762,5,6,5,7,2024-10-29 16:36:05,2024-10-30 07:24:35,1
Parkinson,tr,Deep_brain_stimulation,178,2,12,1,38,2005-10-31 04:33:00,2023-12-26 18:50:31,29
Parkinson,zh_yue,Deep_brain_stimulation,126,2,16,2,6,2021-05-18 06:34:55,2022-11-06 01:18:09,2
Parkinson,zh,Deep_brain_stimulation,38,3,8,1,34,2010-12-21 03:11:14,2024-01-26 06:44:05,21
Parkinson,ar,Lewy_body,164,5,17,3,23,2019-03-14 20:17:21,2025-02-13 15:39:11,8
Parkinson,de,Lewy_body,202,3,17,2,42,2005-02-18 16:06:22,2024-12-11 12:57:39,37
Parkinson,en,Lewy_body,1758,5,51,6,331,2004-02-27 22:21:21,2024-12-06 01:02:18,182
Parkinson,es,Lewy_body,1710,6,49,5,4,2022-02-13 18:49:21,2023-10-20 08:28:25,3
Parkinson,fa,Lewy_body,592,3,27,4,14,2015-11-04 11:31:37,2024-10-01 19:50:57,9
Parkinson,fi,Lewy_body,172,2,9,1,7,2013-12-02 12:41:49,2024-09-22 16:38:38,5
Parkinson,fr,Lewy_body,806,3,29,5,37,2011-10-23 16:05:43,2023-11-08 09:42:25,30
Parkinson,gl,Lewy_body,1433,5,30,5,23,2020-05-02 20:59:53,2022-01-03 00:07:55,2
Parkinson,id,Lewy_body,265,2,12,1,7,2018-01-05 15:05:56,2021-01-29 16:26:29,6
Parkinson,io,Lewy_body,39,0,3,0,5,2022-05-16 19:52:09,2023-06-26 20:08:51,1
Parkinson,it,Lewy_body,1229,5,33,6,66,2008-02-22 17:43:15,2025-01-30 12:03:23,32
Parkinson,ja,Lewy_body,56,4,24,6,33,2008-09-14 08:29:50,2022-05-11 22:56:53,21
Parkinson,ko,Lewy_body,589,5,12,6,26,2014-06-12 15:04:44,2024-05-07 06:20:06,7
Parkinson,la,Lewy_body,683,5,22,5,25,2017-02-23 22:00:01,2023-12-13 15:51:52,3
Parkinson,nl,Lewy_body,67,2,6,0,14,2011-11-02 09:08:59,2019-03-09 20:46:52,13
Parkinson,pl,Lewy_body,327,3,21,1,31,2008-02-16 19:24:26,2018-01-19 06:51:30,18
Parkinson,pt,Lewy_body,331,3,19,2,3,2014-11-20 12:55:09,2017-07-21 16:09:09,3
Parkinson,ru,Lewy_body,175,4,9,3,28,2006-07-27 11:55:24,2024-04-01 21:22:30,21
Parkinson,simple,Lewy_body,91,3,5,1,18,2009-02-01 14:35:42,2019-05-20 23:21:08,9
Parkinson,sr,Lewy_body,94,2,7,1,9,2018-06-09 04:06:20,2025-01-05 15:02:53,6
Parkinson,uk,Lewy_body,1329,4,33,6,13,2019-11-03 16:10:27,2025-01-26 00:37:33,7
Parkinson,ca,Rotenone,1061,3,37,6,54,2006-05-09 16:04:57,2024-12-07 15:20:50,30
Parkinson,cs,Rotenone,956,5,72,7,50,2009-08-29 12:10:50,2024-09-30 08:29:07,27
Parkinson,de,Rotenone,1001,4,73,6,139,2006-08-08 16:29:43,2024-04-18 04:39:20,79
Parkinson,el,Rotenone,2052,4,57,7,11,2018-11-06 08:03:33,2024-06-12 09:51:34,4
Parkinson,en,Rotenone,5470,5,920,8,593,2004-03-07 04:14:26,2025-01-30 12:29:42,304
Parkinson,es,Rotenone,1156,4,81,7,82,2006-03-08 21:13:30,2024-01-18 14:12:49,55
Parkinson,fa,Rotenone,209,4,24,1,12,2020-01-02 19:22:47,2024-03-24 17:54:10,4
Parkinson,fi,Rotenone,439,2,32,4,12,2018-06-19 10:36:36,2024-11-13 04:20:19,6
Parkinson,fr,Rotenone,4560,11,161,8,257,2006-07-02 14:54:08,2024-12-30 02:23:12,99
Parkinson,hi,Rotenone,45,1,1,0,14,2009-08-31 15:52:22,2023-03-22 02:49:28,13
Parkinson,id,Rotenone,286,6,37,1,6,2018-10-29 21:32:43,2023-04-23 23:32:40,5
Parkinson,it,Rotenone,749,7,47,8,67,2007-05-02 21:27:32,2022-11-21 14:51:07,40
Parkinson,ja,Rotenone,393,2,47,6,25,2008-04-11 12:51:08,2024-11-28 11:40:30,21
Parkinson,ko,Rotenone,435,5,35,3,37,2017-11-17 12:19:20,2024-06-03 00:23:53,7
Parkinson,nl,Rotenone,394,5,56,4,38,2009-09-10 14:17:01,2023-05-15 20:24:38,24
Parkinson,no,Rotenone,2318,3,33,5,64,2006-08-30 20:00:57,2024-11-02 09:44:09,39
Parkinson,pt,Rotenone,767,4,40,2,20,2008-08-24 14:54:32,2020-12-28 14:51:05,16
Parkinson,ru,Rotenone,2364,5,90,10,61,2015-12-27 00:27:48,2024-08-23 21:53:28,16
Parkinson,sh,Rotenone,444,5,27,4,13,2014-04-12 02:18:53,2024-12-21 00:31:19,4
Parkinson,sr,Rotenone,406,6,48,4,14,2013-12-27 04:58:27,2024-04-10 01:27:10,5
Parkinson,sv,Rotenone,2680,1,21,6,64,2007-04-07 16:34:22,2024-10-03 09:16:42,33
Parkinson,th,Rotenone,1156,5,39,6,20,2021-03-19 10:28:18,2024-11-21 21:04:39,5
Parkinson,zh,Rotenone,90,4,28,5,51,2010-06-09 12:03:11,2025-02-07 23:34:44,27
Parkinson,ar,Catalepsy,457,8,36,4,34,2016-06-28 11:53:38,2024-12-22 18:12:35,15
Parkinson,be,Catalepsy,86,0,7,1,2,2018-08-16 12:51:52,2018-08-16 18:11:51,2
Parkinson,ca,Catalepsy,249,5,14,0,36,2009-05-05 21:52:23,2025-02-13 17:38:44,25
Parkinson,cs,Catalepsy,377,3,23,5,47,2006-01-28 17:51:28,2022-08-28 10:17:14,34
Parkinson,da,Catalepsy,265,2,11,3,21,2009-04-10 22:55:16,2024-06-28 00:05:09,17
Parkinson,de,Catalepsy,289,0,12,3,90,2004-01-20 20:01:42,2022-07-13 11:44:50,74
Parkinson,en,Catalepsy,2140,3,279,7,402,2004-04-13 04:50:54,2024-12-26 16:05:50,268
Parkinson,eo,Catalepsy,196,5,8,4,3,2021-02-05 11:35:56,2023-08-10 15:53:24,2
Parkinson,es,Catalepsy,852,6,38,5,380,2005-06-25 19:40:59,2025-01-23 22:44:27,251
Parkinson,et,Catalepsy,88,1,4,1,14,2015-05-14 15:05:19,2017-09-17 16:39:46,4
Parkinson,eu,Catalepsy,99,5,17,2,5,2018-07-21 14:21:26,2019-12-14 15:46:48,3
Parkinson,fa,Catalepsy,88,0,4,1,24,2011-09-25 21:17:59,2025-01-25 17:28:57,15
Parkinson,fi,Catalepsy,66,0,5,1,22,2007-05-01 22:39:48,2022-10-13 06:24:16,22
Parkinson,fr,Catalepsy,827,2,31,6,71,2005-12-24 19:34:42,2024-12-26 11:21:33,60
Parkinson,ga,Catalepsy,118,3,5,1,4,2013-08-16 19:43:06,2023-06-14 15:58:31,2
Parkinson,gl,Catalepsy,565,4,23,5,16,2014-07-15 16:21:38,2021-07-23 08:30:24,6
Parkinson,he,Catalepsy,703,7,43,6,2,2023-02-23 16:00:19,2023-03-04 09:40:13,2
Parkinson,hy,Catalepsy,103,4,6,0,12,2014-01-11 15:06:06,2021-07-06 12:49:47,7
Parkinson,id,Catalepsy,146,0,10,2,11,2011-07-27 03:49:14,2019-11-29 12:12:56,7
Parkinson,io,Catalepsy,27,1,1,0,8,2010-05-17 20:34:58,2013-03-12 04:15:48,7
Parkinson,it,Catalepsy,817,7,136,5,71,2005-10-09 18:26:32,2024-08-07 15:48:33,56
Parkinson,ja,Catalepsy,23,2,13,3,16,2015-08-26 05:53:17,2024-08-24 17:53:05,11
Parkinson,kk,Catalepsy,127,3,2,1,5,2011-06-20 04:55:09,2014-06-28 11:57:24,4
Parkinson,lt,Catalepsy,236,1,7,1,27,2007-01-30 18:40:51,2023-04-15 16:28:24,22
Parkinson,nl,Catalepsy,298,5,12,1,50,2006-06-11 09:39:00,2023-06-11 20:44:58,35
Parkinson,pl,Catalepsy,222,2,14,2,57,2003-11-29 08:07:20,2024-05-14 11:31:22,45
Parkinson,pt,Catalepsy,669,1,24,4,73,2005-08-01 10:37:14,2020-03-21 19:54:27,62
Parkinson,ro,Catalepsy,248,2,5,2,26,2008-08-07 21:17:06,2024-12-16 18:40:27,22
Parkinson,ru,Catalepsy,475,5,34,2,83,2006-05-19 12:27:26,2024-10-17 08:08:44,58
Parkinson,sh,Catalepsy,188,1,15,1,6,2014-04-09 04:43:25,2023-09-07 08:00:03,5
Parkinson,simple,Catalepsy,275,2,21,2,9,2014-08-14 09:41:53,2023-06-16 10:56:15,7
Parkinson,sr,Catalepsy,794,8,17,6,38,2012-02-14 06:50:13,2024-09-16 00:47:49,16
Parkinson,sv,Catalepsy,437,1,38,4,44,2007-06-06 20:22:14,2023-04-26 09:04:57,29
Parkinson,tr,Catalepsy,123,1,9,4,7,2021-08-28 16:02:14,2022-03-26 04:40:53,5
Parkinson,uk,Catalepsy,458,6,23,6,32,2010-09-04 18:53:43,2024-05-28 07:43:47,22
Parkinson,vi,Catalepsy,1515,1,95,4,20,2013-06-22 15:30:52,2023-07-21 07:51:22,15
Parkinson,ar,Levetiracetam,759,13,110,6,40,2013-07-31 20:41:39,2024-10-30 22:11:09,20
Parkinson,azb,Levetiracetam,159,6,11,3,4,2017-11-07 03:45:07,2018-12-05 13:08:33,2
Parkinson,ca,Levetiracetam,890,4,33,6,21,2019-06-16 16:42:49,2024-03-27 07:53:33,9
Parkinson,cy,Levetiracetam,257,4,3,3,6,2018-03-08 12:42:04,2018-03-12 13:14:50,3
Parkinson,de,Levetiracetam,656,3,92,7,128,2005-07-08 19:48:49,2024-02-13 14:04:37,89
Parkinson,el,Levetiracetam,2082,4,43,5,4,2020-12-07 19:40:54,2021-08-12 04:40:25,2
Parkinson,en,Levetiracetam,3627,6,225,7,673,2004-05-28 19:41:07,2025-02-17 15:17:24,325
Parkinson,es,Levetiracetam,1055,4,44,8,97,2008-10-05 04:20:56,2025-02-12 16:37:06,51
Parkinson,fa,Levetiracetam,1644,6,292,4,22,2018-06-04 00:33:53,2024-12-03 01:13:11,14
Parkinson,fr,Levetiracetam,338,7,37,2,62,2007-10-30 14:49:21,2025-01-05 23:23:37,40
Parkinson,he,Levetiracetam,485,6,57,6,38,2011-08-18 12:14:34,2025-02-13 17:46:03,23
Parkinson,hu,Levetiracetam,411,4,52,3,23,2009-12-01 22:06:24,2020-03-26 03:07:30,11
Parkinson,id,Levetiracetam,426,2,39,2,12,2019-03-24 13:41:30,2025-01-27 05:37:58,5
Parkinson,it,Levetiracetam,1188,7,50,8,92,2008-10-06 10:31:54,2024-10-05 10:03:32,42
Parkinson,ja,Levetiracetam,599,3,63,8,32,2015-02-03 05:48:11,2023-11-01 17:43:53,12
Parkinson,ko,Levetiracetam,734,2,78,6,29,2013-11-29 13:17:37,2024-05-18 10:49:36,13
Parkinson,la,Levetiracetam,239,3,14,5,6,2017-07-06 14:46:31,2021-04-09 10:35:45,2
Parkinson,nl,Levetiracetam,296,3,22,4,41,2007-12-04 10:57:30,2024-09-02 22:12:07,31
Parkinson,no,Levetiracetam,151,1,6,3,13,2009-10-09 15:40:55,2016-08-25 01:11:48,9
Parkinson,or,Levetiracetam,434,4,9,1,6,2022-03-28 04:10:15,2023-02-13 00:14:21,3
Parkinson,pl,Levetiracetam,230,4,44,1,37,2008-02-08 02:33:15,2020-06-22 21:41:27,24
Parkinson,pt,Levetiracetam,374,4,89,1,17,2013-04-18 22:43:04,2024-11-06 20:49:05,12
Parkinson,ro,Levetiracetam,403,6,70,3,9,2017-08-24 22:01:53,2023-03-19 08:51:34,2
Parkinson,ru,Levetiracetam,838,3,15,10,57,2005-10-18 07:05:12,2022-04-25 17:59:12,43
Parkinson,sh,Levetiracetam,691,6,137,4,17,2014-04-05 10:39:26,2024-12-19 20:13:55,5
Parkinson,sr,Levetiracetam,360,10,32,4,16,2013-12-17 03:35:07,2024-04-09 21:21:04,5
Parkinson,sv,Levetiracetam,105,1,3,1,25,2008-05-01 07:50:24,2019-03-02 06:21:31,19
Parkinson,tr,Levetiracetam,190,0,14,1,13,2022-05-22 06:25:59,2024-06-30 08:44:37,9
Parkinson,uk,Levetiracetam,1008,3,90,7,9,2019-05-10 16:45:12,2024-03-07 21:11:41,4
Parkinson,zh,Levetiracetam,512,6,104,1,6,2024-11-15 09:48:04,2024-11-21 11:27:23,3
Parkinson,ar,Carbidopa,460,13,41,1,34,2018-01-26 21:13:24,2023-03-20 07:37:22,11
Parkinson,azb,Carbidopa,144,6,9,3,4,2017-11-07 03:43:21,2018-12-05 21:19:36,2
Parkinson,cy,Carbidopa,194,3,1,3,7,2018-03-08 12:33:33,2024-03-16 22:26:24,4
Parkinson,de,Carbidopa,547,3,61,5,87,2007-05-23 15:14:49,2024-10-23 10:14:34,47
Parkinson,en,Carbidopa,1528,6,301,5,204,2004-09-10 23:37:00,2025-01-12 04:25:34,128
Parkinson,es,Carbidopa,549,3,47,4,99,2009-12-08 11:12:11,2023-11-13 08:33:34,19
Parkinson,fa,Carbidopa,2457,5,679,5,22,2014-02-01 14:25:22,2024-12-20 06:43:36,12
Parkinson,fi,Carbidopa,370,3,41,3,8,2015-12-15 14:00:59,2024-11-12 17:53:43,4
Parkinson,fr,Carbidopa,551,5,71,3,8,2014-05-28 19:15:52,2024-07-08 11:00:06,6
Parkinson,id,Carbidopa,996,5,49,4,9,2024-12-25 09:21:33,2024-12-25 09:42:15,1
Parkinson,it,Carbidopa,2639,7,393,4,41,2007-04-11 09:21:32,2023-07-21 20:40:19,35
Parkinson,pl,Carbidopa,411,4,31,1,30,2007-08-29 23:57:30,2023-01-09 08:48:50,22
Parkinson,pt,Carbidopa,224,5,40,2,4,2018-03-17 16:17:21,2020-01-22 19:58:36,4
Parkinson,ro,Carbidopa,371,6,48,3,3,2020-06-18 21:19:07,2023-03-19 13:13:24,3
Parkinson,ru,Carbidopa,343,4,6,1,8,2023-03-03 19:11:25,2024-01-31 17:49:42,7
Parkinson,sh,Carbidopa,4622,5,1156,3,11,2014-04-05 10:18:41,2024-12-19 15:27:49,5
Parkinson,sr,Carbidopa,3817,7,1336,3,15,2013-09-29 07:44:15,2024-01-13 11:02:59,6
Parkinson,uk,Carbidopa,855,3,59,8,21,2019-07-14 19:00:52,2024-08-29 10:56:46,3
Parkinson,ar,Methyldopa,512,13,70,1,24,2015-05-12 15:33:23,2022-12-13 00:00:15,8
Parkinson,azb,Methyldopa,167,6,13,3,5,2017-11-07 03:30:34,2021-09-10 15:25:19,2
Parkinson,cy,Methyldopa,230,4,3,3,7,2018-03-08 12:30:10,2024-03-16 12:49:03,4
Parkinson,de,Methyldopa,999,4,66,5,119,2006-03-08 15:33:02,2025-01-29 09:31:58,63
Parkinson,el,Methyldopa,767,4,73,4,4,2020-12-03 20:48:56,2025-01-19 10:34:35,3
Parkinson,en,Methyldopa,2430,7,1074,8,334,2004-09-18 05:02:08,2025-02-09 08:49:28,178
Parkinson,es,Methyldopa,1342,4,56,8,90,2007-01-13 09:33:34,2024-09-20 11:48:42,60
Parkinson,fa,Methyldopa,2398,5,636,6,44,2010-04-12 06:55:32,2024-04-17 10:01:10,26
Parkinson,fi,Methyldopa,350,3,39,2,8,2018-04-05 15:59:43,2020-10-10 18:08:39,5
Parkinson,fr,Methyldopa,382,6,34,1,41,2008-11-28 20:18:08,2024-09-24 13:57:51,33
Parkinson,he,Methyldopa,195,5,13,1,19,2015-10-20 14:19:27,2024-01-02 05:43:39,11
Parkinson,hr,Methyldopa,275,3,10,2,17,2007-06-17 17:32:31,2021-12-31 15:37:00,13
Parkinson,hy,Methyldopa,840,3,68,8,26,2019-01-30 14:42:30,2024-08-23 16:35:53,8
Parkinson,id,Methyldopa,168,5,36,1,4,2023-07-18 08:19:47,2024-06-29 10:10:03,3
Parkinson,it,Methyldopa,3282,7,518,4,47,2009-04-12 16:24:38,2024-10-04 14:11:46,33
Parkinson,ja,Methyldopa,77,5,57,7,36,2011-07-27 23:20:34,2024-01-26 06:06:03,25
Parkinson,mk,Methyldopa,222,3,25,1,10,2015-07-25 16:29:32,2024-05-08 05:28:58,3
Parkinson,or,Methyldopa,368,5,6,1,5,2017-03-17 01:59:29,2023-10-09 04:14:35,2
Parkinson,pl,Methyldopa,666,5,61,5,63,2006-04-17 21:18:17,2023-11-19 15:23:01,43
Parkinson,pt,Methyldopa,463,3,32,5,29,2010-06-08 21:39:33,2023-12-14 10:07:23,20
Parkinson,ro,Methyldopa,586,6,117,3,4,2021-08-04 12:53:17,2023-03-19 15:26:54,2
Parkinson,ru,Methyldopa,913,5,39,5,56,2004-12-31 00:19:55,2024-06-03 15:38:01,51
Parkinson,sh,Methyldopa,4669,3,1186,2,7,2013-04-19 10:25:09,2024-08-18 15:34:01,6
Parkinson,sr,Methyldopa,3861,7,1345,4,28,2012-08-26 17:19:48,2024-01-13 12:52:07,9
Parkinson,sv,Methyldopa,99,3,3,1,24,2007-01-11 23:17:11,2024-07-19 04:55:10,18
Parkinson,tr,Methyldopa,156,1,5,3,28,2011-07-14 06:19:49,2024-07-22 17:32:12,15
Parkinson,vi,Methyldopa,558,4,14,1,10,2018-10-13 11:34:11,2024-09-04 12:31:00,6
Parkinson,zh,Methyldopa,328,6,98,3,6,2020-06-15 03:54:59,2023-04-06 14:59:56,5
Parkinson,ar,Dyskinesia,1172,5,243,3,34,2018-06-07 08:04:06,2023-04-10 10:01:52,11
Parkinson,ca,Dyskinesia,229,2,19,5,49,2015-06-03 01:44:09,2025-02-13 18:47:30,12
Parkinson,da,Dyskinesia,178,4,0,0,9,2016-08-20 23:29:10,2023-11-11 07:56:55,6
Parkinson,en,Dyskinesia,1583,1,290,6,238,2004-10-01 09:05:14,2024-11-26 07:03:47,134
Parkinson,es,Dyskinesia,281,2,21,1,115,2004-02-21 18:46:35,2023-06-02 18:04:30,61
Parkinson,eu,Dyskinesia,191,4,18,2,1,2022-02-25 17:30:45,2022-02-25 17:30:45,1
Parkinson,fa,Dyskinesia,854,1,119,4,31,2013-01-31 15:22:13,2024-09-18 17:47:23,17
Parkinson,fr,Dyskinesia,438,1,42,4,39,2010-12-12 15:08:25,2025-02-19 12:16:53,23
Parkinson,he,Dyskinesia,101,4,9,1,9,2017-09-03 13:26:28,2021-07-31 15:25:50,5
Parkinson,it,Dyskinesia,1451,3,173,8,47,2008-10-30 14:03:10,2022-12-11 09:37:47,31
Parkinson,ja,Dyskinesia,151,0,25,3,21,2008-06-27 06:34:15,2023-01-15 12:25:46,19
Parkinson,la,Dyskinesia,102,2,6,2,4,2020-04-15 10:06:43,2020-04-15 10:11:50,1
Parkinson,nl,Dyskinesia,503,1,15,5,22,2007-10-23 16:12:19,2024-02-25 18:45:35,20
Parkinson,no,Dyskinesia,371,0,15,2,19,2022-06-28 09:41:19,2023-11-23 10:20:01,4
Parkinson,pl,Dyskinesia,149,2,11,2,36,2006-02-25 21:20:24,2024-02-25 20:18:16,29
Parkinson,pt,Dyskinesia,257,3,26,4,20,2009-04-02 23:31:50,2016-10-26 03:00:07,18
Parkinson,sh,Dyskinesia,84,1,16,2,8,2014-03-26 06:06:26,2024-03-05 23:37:26,5
Parkinson,sr,Dyskinesia,111,5,18,3,40,2006-10-09 22:45:10,2024-04-07 16:02:15,17
Parkinson,sv,Dyskinesia,73,0,16,1,8,2012-04-25 21:31:39,2022-07-31 21:26:38,8
Parkinson,uk,Dyskinesia,707,2,37,5,5,2023-06-17 12:06:59,2023-10-12 21:35:06,3
Parkinson,ar,Paraquat,622,13,69,6,25,2018-07-23 18:20:21,2024-11-21 22:14:45,12
Parkinson,azb,Paraquat,62,2,15,2,2,2017-11-30 07:51:55,2018-12-05 19:08:29,2
Parkinson,cs,Paraquat,460,9,50,3,37,2008-02-11 20:41:45,2024-09-30 08:27:13,26
Parkinson,da,Paraquat,311,2,34,2,49,2003-09-09 08:39:53,2023-11-11 16:12:09,31
Parkinson,de,Paraquat,2416,12,124,10,280,2002-12-07 19:20:54,2025-01-07 01:16:19,140
Parkinson,en,Paraquat,5360,11,337,8,802,2004-10-13 21:03:30,2025-02-16 13:51:19,396
Parkinson,es,Paraquat,2386,8,89,9,92,2007-10-27 02:01:21,2024-07-15 03:37:13,63
Parkinson,et,Paraquat,436,1,6,2,5,2020-11-24 13:18:39,2023-12-08 17:37:53,4
Parkinson,fa,Paraquat,199,5,22,2,19,2012-04-20 11:10:01,2024-08-10 11:58:36,14
Parkinson,fi,Paraquat,393,3,25,3,8,2018-03-20 10:45:54,2024-11-13 01:46:51,4
Parkinson,fr,Paraquat,5719,17,172,7,257,2007-02-13 17:09:36,2025-02-18 12:52:28,93
Parkinson,ga,Paraquat,157,4,4,1,5,2022-04-03 17:28:52,2022-07-28 22:08:17,2
Parkinson,gl,Paraquat,2468,9,76,8,95,2006-09-06 20:23:20,2024-03-19 08:07:57,28
Parkinson,it,Paraquat,667,10,51,3,52,2007-05-08 19:07:50,2021-07-11 10:27:51,37
Parkinson,ja,Paraquat,276,4,109,12,202,2005-01-18 09:46:55,2024-07-23 03:45:23,102
Parkinson,ko,Paraquat,1268,8,46,8,104,2004-11-23 17:55:09,2025-02-20 01:39:54,50
